Wavelength [nm]    	Intensity [counts]
373.3719482421875  	597.82708740234375
373.58856201171875 	672.37200927734375
373.805145263671875	486.7540283203125
374.021728515625   	841.08135986328125
374.23828125       	291.4044189453125
374.454833984375   	763.72711181640625
374.67138671875    	832.612548828125
374.887939453125   	893.96551513671875
375.104461669921875	122.91216278076171875
375.32098388671875 	289.25054931640625
375.5374755859375  	397.8236083984375
375.75396728515625 	1211.791748046875
375.970458984375   	944.6610107421875
376.18695068359375 	956.26873779296875
376.403411865234375	581.83087158203125
376.619873046875   	759.4835205078125
376.8363037109375  	681.94415283203125
377.052734375      	853.78076171875
377.2691650390625  	767.97015380859375
377.485595703125   	670.24456787109375
377.701995849609375	307.55328369140625
377.91839599609375 	312.93426513671875
378.134765625      	760.54443359375
378.35113525390625 	1166.6976318359375
378.5675048828125  	525.2467041015625
378.78387451171875 	696.82861328125
379.000213623046875	765.84869384765625
379.216552734375   	881.28045654296875
379.432861328125   	608.48681640625
379.649169921875   	482.474151611328125
379.865478515625   	360.244384765625
380.081787109375   	1156.203369140625
380.298065185546875	157.5572052001953125
380.51434326171875 	1074.25146484375
380.7305908203125  	571.16229248046875
380.94683837890625 	508.144683837890625
381.1630859375     	1148.855712890625
381.37933349609375 	656.41241455078125
381.595550537109375	681.94415283203125
381.811737060546875	1310.1961669921875
382.0279541015625  	1223.3193359375
382.244140625      	579.697509765625
382.4603271484375  	425.709259033203125
382.676483154296875	1381.2386474609375
382.89263916015625 	1101.587890625
383.108795166015625	621.27386474609375
383.324951171875   	626.600341796875
383.54107666015625 	1310.1961669921875
383.7572021484375  	75.203643798828125
383.973297119140625	705.33099365234375
384.18939208984375 	904.53289794921875
384.405487060546875	923.5465087890625
384.621551513671875	866.4755859375
384.837615966796875	880.22320556640625
385.053680419921875	717.018310546875
385.26971435546875 	1295.554931640625
385.48577880859375 	547.67889404296875
385.7017822265625  	298.941680908203125
385.917816162109375	763.72711181640625
386.133819580078125	529.52069091796875
386.34979248046875 	919.32208251953125
386.5657958984375  	924.6025390625
386.781768798828125	694.70263671875
386.99774169921875 	1140.4566650390625
387.21368408203125 	789.17767333984375
387.42962646484375 	573.29632568359375
387.64556884765625 	771.15216064453125
387.861480712890625	1119.451416015625
388.077392578125   	858.01287841796875
388.293304443359375	794.4775390625
388.509185791015625	719.142822265625
388.725067138671875	1011.09259033203125
388.940948486328125	1138.356689453125
389.15679931640625 	545.543212890625
389.372650146484375	594.62847900390625
389.5885009765625  	1056.3670654296875
389.8043212890625  	921.43438720703125
390.0201416015625  	909.81549072265625
390.235931396484375	300.018280029296875
390.451751708984375	635.120849609375
390.66754150390625 	585.03076171875
390.88330078125    	1057.4193115234375
391.09906005859375 	918.26593017578125
391.3148193359375  	1076.35498046875
391.53057861328125 	523.10943603515625
