Wavelength [nm]    	Intensity [counts]
374.67138671875    	859.42364501953125
374.887939453125   	954.510498046875
375.104461669921875	104.85074615478515625
375.32098388671875 	318.673065185546875
375.5374755859375  	469.9879150390625
375.75396728515625 	1074.602294921875
375.970458984375   	948.1790771484375
376.18695068359375 	1054.6134033203125
376.403411865234375	518.12213134765625
376.619873046875   	692.93109130859375
376.8363037109375  	599.248779296875
377.052734375      	844.60955810546875
377.2691650390625  	683.3621826171875
377.485595703125   	647.18792724609375
377.701995849609375	261.595245361328125
377.91839599609375 	247.577789306640625
378.134765625      	752.4097900390625
378.35113525390625 	1080.9122314453125
378.5675048828125  	740.7347412109375
378.78387451171875 	808.606689453125
379.000213623046875	767.26318359375
379.216552734375   	858.36566162109375
379.432861328125   	553.37359619140625
379.649169921875   	714.185546875
379.865478515625   	446.428314208984375
380.081787109375   	1034.6142578125
380.298065185546875	27.773366928100585938
380.51434326171875 	1084.06689453125
380.7305908203125  	573.65216064453125
380.94683837890625 	391.74273681640625
381.1630859375     	1170.1953125
381.37933349609375 	747.10345458984375
381.595550537109375	577.919677734375
381.811737060546875	1320.9996337890625
382.0279541015625  	1005.12225341796875
382.244140625      	732.24127197265625
382.4603271484375  	204.40386962890625
382.676483154296875	1336.677001953125
382.89263916015625 	982.98809814453125
383.108795166015625	612.03948974609375
383.324951171875   	575.7860107421875
383.54107666015625 	1315.7725830078125
383.7572021484375  	17.98715972900390625
383.973297119140625	676.98138427734375
384.18939208984375 	794.8310546875
384.405487060546875	789.53125
384.621551513671875	854.13360595703125
384.837615966796875	861.5394287109375
385.053680419921875	703.55999755859375
385.26971435546875 	1066.1871337890625
385.48577880859375 	338.0325927734375
385.7017822265625  	50.59389495849609375
385.917816162109375	757.71533203125
386.133819580078125	460.35205078125
386.34979248046875 	931.2900390625
386.5657958984375  	897.48846435546875
386.781768798828125	775.7479248046875
386.99774169921875 	1100.887451171875
387.21368408203125 	753.47100830078125
387.42962646484375 	663.15203857421875
387.64556884765625 	909.111328125
387.861480712890625	921.78656005859375
388.077392578125   	764.08087158203125
388.293304443359375	914.39324951171875
388.509185791015625	781.04986572265625
388.725067138671875	878.46112060546875
388.940948486328125	1012.4974365234375
389.15679931640625 	591.78521728515625
389.372650146484375	616.30194091796875
389.5885009765625  	1064.0831298828125
389.8043212890625  	1016.711181640625
390.0201416015625  	923.89862060546875
390.235931396484375	174.1428070068359375
390.451751708984375	527.7401123046875
390.66754150390625 	598.18267822265625
390.88330078125    	1182.78369140625
391.09906005859375 	798.010498046875
391.3148193359375  	964.0054931640625
391.53057861328125 	489.25054931640625
391.746307373046875	469.9879150390625
391.9620361328125  	738.611572265625
392.177734375      	834.02435302734375
392.393463134765625	188.1966400146484375
392.609130859375   	950.2896728515625
392.8248291015625  	536.28692626953125
393.040496826171875	394.9622802734375
393.25616455078125 	839.3173828125
393.4718017578125  	799.07025146484375
393.687469482421875	685.48883056640625
393.903076171875   	1095.6318359375
394.11871337890625 	505.293609619140625
394.334320068359375	540.5594482421875
394.5499267578125  	868.94366455078125
394.7655029296875  	551.23828125
394.9810791015625  	988.25933837890625
395.1966552734375  	567.24981689453125
395.412200927734375	862.5972900390625
395.62774658203125 	805.42816162109375
395.843292236328125	936.5687255859375
396.058837890625   	995.6378173828125
396.27435302734375 	399.25445556640625
396.489837646484375	1733.0511474609375
396.705322265625   	997.7457275390625
396.92083740234375 	195.76116943359375
397.13629150390625 	934.4573974609375
397.35174560546875 	774.6875
397.56719970703125 	494.599151611328125
397.78265380859375 	486.040924072265625
397.998077392578125	496.73834228515625
398.2135009765625  	689.74176025390625
398.428924560546875	223.84027099609375
398.644317626953125	792.711181640625
398.859710693359375	619.4984130859375
399.0750732421875  	1089.32421875
399.29046630859375 	280.992767333984375
399.50579833984375 	424.9947509765625
399.721160888671875	525.60302734375
399.936492919921875	987.2052001953125
400.151824951171875	256.204742431640625
400.36712646484375 	624.82513427734375
400.582427978515625	554.44122314453125
400.7977294921875  	1008.28326416015625
401.01300048828125 	205.4840240478515625
401.228271484375   	764.08087158203125
401.44354248046875 	840.3758544921875
401.6588134765625  	791.6512451171875
401.874053955078125	1567.008056640625
402.089263916015625	645.058837890625
402.30450439453125 	937.6243896484375
402.51971435546875 	731.179443359375
402.734893798828125	399.25445556640625
402.950103759765625	203.3236846923828125
403.165283203125   	699.308837890625
403.38043212890625 	1245.666748046875
403.5955810546875  	643.99420166015625
403.81072998046875 	799.07025146484375
404.02587890625    	946.06842041015625
404.240997314453125	662.0880126953125
404.45611572265625 	478.550567626953125
404.67120361328125 	1029.3494873046875
404.88629150390625 	526.67156982421875
405.10137939453125 	258.361053466796875
405.31646728515625 	659.9598388671875
